Country,cluster,pc1,pc2
Albania,0,-0.48657113938218416,0.005992972813341937
Algeria,0,-0.29723055345825844,0.022258771597176454
Andorra,0,-0.5029824832470946,0.00397507930036875
Angola,0,-0.4069494046457622,0.014206756033779923
Antigua and Barbuda,0,-0.5045916026499432,0.004033401301606293
Argentina,0,0.027062449316263115,0.05044121648780591
Armenia,0,-0.4881276323741555,0.007417308388237819
Aruba,0,-0.503211506086054,0.004126146624442651
Australia,0,1.0955820141420274,-0.013213816128376117
Austria,0,-0.03677100791583613,-0.010229034354575648
Azerbaijan,0,-0.4444720512625303,0.010197921432325872
Bahamas,0,-0.49410767223989893,0.004592813439334149
Bahrain,0,-0.46453944723085755,0.004166881646188627
Bangladesh,0,-0.08909419444670791,-0.00495946450200556
Barbados,0,-0.5004424576104536,0.004182641403436393
Belarus,0,-0.4391578339583502,0.0014471323547095088
Belgium,0,0.08094630061362316,-0.006356409585478525
Belize,0,-0.5036942109719531,0.0041391150178317505
Benin,0,-0.4886105592807032,0.00404068498821037
Bhutan,0,-0.5036099740678676,0.0038643691004641204
Bolivia,0,-0.464608223664283,0.004086715741989832
Bosnia and Herzegovina,0,-0.4822674834563394,0.004580143688155675
Botswana,0,-0.4883999723724202,0.0035931428480902496
Brazil,0,1.314405033203344,0.11561770160449057
Brunei,0,-0.4921759815499547,0.003835453872431605
Bulgaria,0,-0.41779971827960194,0.009470451829271769
Burkina Faso,0,-0.48654839062617394,0.003916812300667022
Burundi,0,-0.5026193274272249,0.004163822562080969
Cape Verde,0,-0.5041281057757624,0.004035574726131816
Cambodia,0,-0.4672832595695774,0.0048209265311499536
Cameroon,0,-0.4613523737287149,0.003609763840843148
Canada,0,1.480367375615077,0.005127700515455435
Central African Republic,0,-0.5038442514348924,0.0037995622710553134
Chad,0,-0.48947917999939977,0.0037487500504884046
Chile,0,-0.20909203083271125,-0.0010720407138356317
China,1,16.668189172079938,-0.5909031594531143
Colombia,0,-0.17534365955258685,0.01997361519941877
Comoros,0,-0.5050804892024622,0.003867498897833835
